Dışa Aktarım Tarihi:,21.08.2026 08:39:30
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"13448499182,90","14685417974,96","9,2","129326519760,00","136711036773,00","5,71","3,30"
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"34511647,89","45753241,47","32,57","35043606,00","41087917,00","17,25","13,07"
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"32391074,05","42953180,63","32,61","18378461,00","21990329,00","19,65","10,83"
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"295437045,47","306380984,96","3,7","190013666,00","181884717,00","-4,28","8,34"
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"701974690,98","676138078,96","-3,68","348831478,00","316252278,00","-9,34","6,24"
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"1535881196,24","1653366045,56","7,65","417093592,00","424149199,00","1,69","5,86"
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"616922578,40","629608314,37","2,06","124226810,00","122739060,00","-1,2","3,29"
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"18834810,59","49425528,81","162,42","14179324,00","34804104,00","145,46","6,91"
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Fonu,"820524721,07","873977372,95","6,51","98109518,00","101355464,00","3,31","3,10"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Fonu,"1851822165,69","1574260977,68","-14,99","14018669466,00","11523777645,00","-17,8","3,42"
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"10992954215,59","13169190206,70","19,8","10628136137,00","12330153690,00","16,01","3,26"
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"521105030,19","540120082,82","3,65","391049534,00","392118867,00","0,27","3,37"
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Fonu,"290564760,90","283691481,73","-2,37","253351481,00","251417189,00","-0,76","-1,61"
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"23795284,56","22907784,28","-3,73","20362710,00","17384508,00","-14,63","12,76"
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Fonu,"192652212,80","180560251,35","-6,28","90339506,00","87033508,00","-3,66","-2,72"
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"333198826,02","304061777,84","-8,74","173407284,00","163691112,00","-5,6","-3,33"
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"1727294318,44","1612419084,72","-6,65","206639453,00","184473242,00","-10,73","4,57"
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"267135708,64","274771011,24","2,86","180190045,00","179414062,00","-0,43","3,30"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Fonu,"40204179,04","41924669,78","4,28","8604095,00","9236970,00","7,36","-2,87"
GLL,GOLDEN GLOBAL PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"0,00","49082576,17",0,"0,00","48075138,00",0,"0,00"
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Fonu,"379773274,84","391465111,25","3,08","2303894727,00","2296675573,00","-0,31","3,40"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"4372991977,99","4576949253,64","4,66","1717891356,00","1594074727,00","-7,21","12,79"
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"1449265629,60","2151298598,03","48,44","1231918743,00","1767080627,00","43,44","3,49"
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"611282110,83","686364945,22","12,28","69272556,00","74882978,00","8,1","3,87"
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"4699098612,91","5098312762,24","8,5","3491811069,00","3665784060,00","4,98","3,35"
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"1446686070,94","1583344490,29","9,45","516971431,00","501237410,00","-3,04","12,88"
