Dışa Aktarım Tarihi:,21.08.2026 08:39:22
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,2984","10,2514","20,8353","27,4579","47,3532","216,1893","372,9614"
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"13,0709","","","","","",""
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,6,"10,8274","13,26","21,6488","41,3634","68,6391","",""
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,6,"8,3392","11,8784","52,2185","61,4649","","",""
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,5,"6,2419","9,5891","28,323","38,8177","63,0502","",""
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,5,"5,8586","10,6105","44,1284","59,5283","91,634","",""
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,3,"3,2933","8,324","16,1774","25,5805","40,192","223,6613",""
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,4,"6,9092","10,5077","21,8387","34,8023","","",""
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,1033","9,3891","17,8967","24,1895","42,3682","208,7525","372,1324"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,3,"3,4164","6,332","17,111","23,7488","43,3022","220,7485","537,7982"
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,2603","","","","","",""
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,"3,3663","10,3006","20,6834","26,8769","","",""
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,5,"-1,6144","-1,6743","0,3811","12,1178","","",""
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,6,"12,7627","-0,5998","-12,9605","-12,2974","","",""
