Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%),Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%),Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"13448499182,90","14685417974,96","9,2","129326519760,00","136711036773,00","5,71","3,30","0,39","0,85","47,35","2,56",1.0,"3,2984","10,2514","20,8353","27,4579","47,3532","216,1893","372,9614"
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"34511647,89","45753241,47","32,57","35043606,00","41087917,00","17,25","13,07","1,72","1,72",0,,6.0,"13,0709",,,,,,
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"32391074,05","42953180,63","32,61","18378461,00","21990329,00","19,65","10,83","2,25","2,25","68,64","3,65",6.0,"10,8274","13,26","21,6488","41,3634","68,6391",,
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"295437045,47","306380984,96","3,7","190013666,00","181884717,00","-4,28","8,34",2,2,0,"3,65",6.0,"8,3392","11,8784","52,2185","61,4649",,,
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"701974690,98","676138078,96","-3,68","348831478,00","316252278,00","-9,34","6,24","2,55","2,55","63,05","3,65",5.0,"6,2419","9,5891","28,323","38,8177","63,0502",,
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Fonu,"1535881196,24","1653366045,56","7,65","417093592,00","424149199,00","1,69","5,86",2,0,"91,63","3,65",5.0,"5,8586","10,6105","44,1284","59,5283","91,634",,
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"616922578,40","629608314,37","2,06","124226810,00","122739060,00","-1,2","3,29","1,75","1,75","40,19","3,65",3.0,"3,2933","8,324","16,1774","25,5805","40,192","223,6613",
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"18834810,59","49425528,81","162,42","14179324,00","34804104,00","145,46","6,91","2,25",0,0,0,4.0,"6,9092","10,5077","21,8387","34,8023",,,
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Fonu,"820524721,07","873977372,95","6,51","98109518,00","101355464,00","3,31","3,10","1,5",0,"42,37","3,65",1.0,"3,1033","9,3891","17,8967","24,1895","42,3682","208,7525","372,1324"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Fonu,"1851822165,69","1574260977,68","-14,99","14018669466,00","11523777645,00","-17,8","3,42","1,25","1,25","43,30","3,65",3.0,"3,4164","6,332","17,111","23,7488","43,3022","220,7485","537,7982"
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"10992954215,59","13169190206,70","19,8","10628136137,00","12330153690,00","16,01","3,26","1,25","1,25",0,"1,65",1.0,"3,2603",,,,,,
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"521105030,19","540120082,82","3,65","391049534,00","392118867,00","0,27","3,37","0,9","0,9",0,"1,65",1.0,"3,3663","10,3006","20,6834","26,8769",,,
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Fonu,"290564760,90","283691481,73","-2,37","253351481,00","251417189,00","-0,76","-1,61","2,4","2,4",0,"3,65",5.0,"-1,6144","-1,6743","0,3811","12,1178",,,
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"23795284,56","22907784,28","-3,73","20362710,00","17384508,00","-14,63","12,76","1,2","1,2",0,"2,19",6.0,"12,7627","-0,5998","-12,9605","-12,2974",,,
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Fonu,"192652212,80","180560251,35","-6,28","90339506,00","87033508,00","-3,66","-2,72",3,3,"21,32","3,65",6.0,"-2,7165","-9,8367","1,3318","6,5036","21,3174","83,4628",
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"333198826,02","304061777,84","-8,74","173407284,00","163691112,00","-5,6","-3,33","1,5","1,5","26,33","3,65",5.0,"-3,328","-5,2604","7,5626","20,3512","26,3257",,
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"1727294318,44","1612419084,72","-6,65","206639453,00","184473242,00","-10,73","4,57","1,95","1,95","51,10","3,65",4.0,"4,5662","8,0764","17,3512","28,5567","51,1016","200,2234","703,3412"
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"267135708,64","274771011,24","2,86","180190045,00","179414062,00","-0,43","3,30","1,25","1,25","45,90","2,56",1.0,"3,3031","10,2245","20,5916","26,8661","45,901",,
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Fonu,"40204179,04","41924669,78","4,28","8604095,00","9236970,00","7,36","-2,87","1,9","1,9","15,30","3,65",7.0,"-2,8654","-6,3967","4,6827","16,9091","15,3025","121,9584","352,5787"
GLL,GOLDEN GLOBAL PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"0,00","49082576,17",0,"0,00","48075138,00",0,"0,00","0,8","0,8",0,,6.0,,,,,,,
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Fonu,"379773274,84","391465111,25","3,08","2303894727,00","2296675573,00","-0,31","3,40","2,4",0,"44,82","3,65",2.0,"3,4027","9,6015","18,9414","26,1305","44,8153","213,9949","397,1968"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"4372991977,99","4576949253,64","4,66","1717891356,00","1594074727,00","-7,21","12,79","1,95","1,95","49,84",0,6.0,"12,7936","4,3712","-6,8371","10,6111","49,8367",,
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"1449265629,60","2151298598,03","48,44","1231918743,00","1767080627,00","43,44","3,49","0,7","0,7",0,"1,65",1.0,"3,4852","10,7266",,,,,
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"611282110,83","686364945,22","12,28","69272556,00","74882978,00","8,1","3,87","1,83","1,83","42,73","3,65",3.0,"3,8703","8,0117","16,9169","23,4895","42,7304","182,6271","409,7312"
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"4699098612,91","5098312762,24","8,5","3491811069,00","3665784060,00","4,98","3,35","0,4","0,4",0,0,1.0,"3,3465","10,3292","20,6847","26,9974",,,
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"1446686070,94","1583344490,29","9,45","516971431,00","501237410,00","-3,04","12,88","1,5","1,5","62,53","3,65",6.0,"12,8818","3,9606","-5,1861","12,9666","62,5345",,
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"132634201,37","166881053,00","25,82","153105042,00","163345686,00","6,69","17,93","2,95","2,95",0,"3,65",5.0,"17,9325","-4,955",,,,,
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"12521743618,14","7034004188,27","-43,83","5409086814,00","2957905413,00","-45,32","2,73","1,25","1,25","45,73","3,65",1.0,"2,7253","9,6923","20,226","26,5531","45,7254",,
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Fonu,"1767442203,89","1862004959,97","5,35","9255794004,21","9474726545,21","2,37","2,92","1,75",0,"40,81","3,65",1.0,"2,9159","8,4468","17,116","22,8069","40,806","192,4972","357,4558"
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,Katılım Fonu,"44439952,82","46931627,01","5,61","32656362,00","30612779,00","-6,26","12,66","1,5","1,5","50,43","4,38",6.0,"12,6567","3,7263","-7,0048","9,6711","50,4293",,
IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Fonu,"31692112,46","33015368,81","4,18","14216441,00","14386635,00","1,2","2,94","1,5","1,5","40,84","4,38",2.0,"2,943","8,7835","17,0364","23,2641","40,8373",,
KCL,KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"13416005,20","0,00",-100,"7768972,00","0,00",-100,"-100,00","0,25","0,25",0,"3,65",6.0,"0,00","0,00","0,00","0,00","0,00",,
KCR,AK PORTFÖY KÜLÇE ALTIN KATILIM FONU,Katılım Fonu,"51098289,67","64841352,69","26,9","52604957,00","59510352,00","13,13","12,17","1,5","1,5",0,,6.0,"12,1708",,,,,,
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Fonu,"2714028422,96","0,00",-100,"536617094,00","0,00",-100,"-100,00","2,5","2,5",0,"3,65",2.0,"0,00","0,00","0,00","0,00","0,00","0,00",
KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,Katılım Fonu,"689611193,91","0,00",-100,"402848011,00","0,00",-100,"-100,00","1,75","1,75",0,"3,65",3.0,"0,00","0,00","0,00","0,00","0,00",,
KIK,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU,Katılım Fonu,"177956640,30","0,00",-100,"125785075,00","0,00",-100,"-100,00","2,5","2,5",0,"3,65",6.0,"0,00","0,00","0,00","0,00","0,00",,
KIS,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Fonu,"90327386,97","91163499,00","0,93","416973871,00","413375085,00","-0,86","1,80","1,25","1,25","20,28","3,65",6.0,"1,8045","4,4027","8,7252","11,0661","20,2815","105,6903","558,117"
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Fonu,"87854140367,98","0,00",-100,"18746060637,00","0,00",-100,"-100,00","1,3","1,3",0,"1,65",1.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Fonu,"198733324,54","0,00",-100,"126133414,00","0,00",-100,"-100,00","1,4","1,4",0,"3,65",2.0,"0,00","0,00","0,00","0,00","0,00",,
