Dışa Aktarım Tarihi:,21.08.2026 08:51:06
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Fonun Risk Değeri,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşından İtibaren (%),1 Yıl (%),3 Yıl (%),5 Yıl (%)
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,"2,0019","7,176","17,1984","23,5863","43,2424","244,7982","394,1157"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Serbest Şemsiye Fonu,5,"5,2907","6,6156","18,8615","21,1508","38,9248","124,1642","265,6456"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"3,129","1,7198","-0,2909","20,6908","21,7064","109,8996","1250,2497"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Şemsiye Fonu,2,"3,2364","10,0782","20,365","26,5178","45,0824","218,6943",""
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,1,"3,6319","11,0357","22,0539","29,0022","50,5577","269,414",""
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,"2,7845","6,9311","15,3625","20,3942","35,9194","172,4697",""
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,6,"2,4395","4,6216","5,5735","10,321","15,8191","105,6587",""
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,6,"3,8348","1,4227","3,3693","31,6923","28,1177","162,3331","1503,2907"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"1,0704","10,1175","10,4654","25,1641","31,3835","196,8242","1205,5004"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,5,"2,0808","6,4038","12,1482","15,1495","24,3442","108,7781","441,313"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,4,"4,3738","2,5429","0,2769","11,5959","26,6829","196,7642","333,2021"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"","-0,9562","-4,0966","-18,2469","-2,5158","0,2748","138,6869","1201,9794"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,5,"6,1346","8,0482","8,7377","33,591","40,0133","161,3336","932,3617"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6,"1,4955","7,9259","14,0866","37,2506","45,9883","126,2812",""
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"5,3345","10,1318","27,2443","26,3117","43,3918","214,6092","804,6834"
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,6,"12,9707","4,3255","-6,9515","11,1038","53,1105","273,3089","1159,9627"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"","10,5614","17,5816","14,8111","19,6945","40,0652","100,8348","459,6474"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"3,8586","-0,9954","19,1709","14,1041","46,0023","251,0873","873,1668"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,6,"5,6976","13,5567","14,1376","23,4134","38,6744","170,3069","753,3098"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,6,"2,316","6,7783","12,858","16,5838","28,0368","123,4327","523,8104"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,6,"-1,7264","-2,4372","-2,3714","16,8186","34,9781","153,8679","1538,1204"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Şemsiye Fonu,7,"4,5187","4,6704","5,7149","9,0182","17,1629","103,3547","585,2218"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1,"3,6322","9,6131","19,2761","25,898","43,9655","252,3246","472,8673"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,4,"2,8024","7,5251","16,7846","28,7149","45,2113","190,3419","821,8804"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,"3,2984","10,2514","20,8353","27,4579","47,3532","216,1893","372,9614"
