Dışa Aktarım Tarihi:,21.08.2026 08:39:26
Toplam Kayıt Sayısı:,98

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"0,39","0,85","47,35","2,56"
BAI,BV PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,72","1,72",0,""
BCO,BULLS PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,25","2,25","68,64","3,65"
BTK,BV PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,2,2,0,"3,65"
CKF,ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,55","2,55","63,05","3,65"
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,2,0,"91,63","3,65"
CVK,INVEO PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,75","1,75","40,19","3,65"
CVL,A1 CAPİTAL PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,25",0,0,0
DPK,DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5",0,"42,37","3,65"
EKF,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,25","1,25","43,30","3,65"
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,25","1,25",0,"1,65"
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"0,9","0,9",0,"1,65"
EPI,EMAA BLUE PORTFÖY İNŞAAT SEKTÖRÜ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
FAK,FONMAP PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,2","1,2",0,"2,19"
FBC,ONE PORTFÖY KAR PAYI ÖDEYEN KATILIM FONU,Katılım Şemsiye Fonu,3,3,"21,32","3,65"
FCK,ONE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","26,33","3,65"
FFH,QNB PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,95","1,95","51,10","3,65"
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,90","2,56"
GKF,GLOBAL MD PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"1,9","1,9","15,30","3,65"
GLL,GOLDEN GLOBAL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,8","0,8",0,""
GLS,AZİMUT PORTFÖY  KİRA SERTİFİKALARI (SUKUK) KATILIM FONU,Katılım Şemsiye Fonu,"2,4",0,"44,82","3,65"
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,95","1,95","49,84",0
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"0,7","0,7",0,"1,65"
GPF,GARANTİ PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"1,83","1,83","42,73","3,65"
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"0,4","0,4",0,0
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","62,53","3,65"
HCV,HEDEF PORTFÖY ATAK ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,95","2,95",0,"3,65"
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,73","3,65"
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,75",0,"40,81","3,65"
IAY,INVEO PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","50,43","4,38"
IV8,INVEO PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","40,84","4,38"
KCL,KARE PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"0,25","0,25",0,"3,65"
KCR,AK PORTFÖY KÜLÇE ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,""
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,Katılım Şemsiye Fonu,"2,5","2,5",0,"3,65"
KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,Katılım Şemsiye Fonu,"1,75","1,75",0,"3,65"
KIK,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM FONU,Katılım Şemsiye Fonu,"2,5","2,5",0,"3,65"
KIS,ASTRA PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,Katılım Şemsiye Fonu,"1,25","1,25","20,28","3,65"
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3","1,3",0,"1,65"
KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,"1,4","1,4",0,"3,65"
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,69",0,"55,38","2,19"
KNJ,KUVEYT TÜRK PORTFÖY ENERJİ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
KPI,İŞ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3",0,"45,58","3,65"
KSK,AZİMUT PORTFÖY İKİNCİ PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,05",0,"46,69","1,65"
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,Katılım Şemsiye Fonu,2,2,0,"3,65"
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,"2,4","2,4",0,"3,65"
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,Katılım Şemsiye Fonu,"2,1","2,1",0,"3,65"
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"3,65"
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"2,56"
KU3,KUVEYT TÜRK PORTFÖY ÜÇÜNCÜ KATILIM FONU,Katılım Şemsiye Fonu,"2,2","2,2",0,"3,65"
KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,"2,5","2,5",0,"3,65"
KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım Şemsiye Fonu,2,2,0,"3,65"
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Şemsiye Fonu,"1,8","1,8",0,"2,19"
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"0,3","0,3",0,"2,19"
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5",0,"3,65"
LKF,İŞ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,9",0,0,"3,65"
MPE,MT PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,05",0,0,"1,65"
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,46","1,46","44,10","1,65"
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,64","1,64","44,28",0
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"57,96","2,19"
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","45,73","3,65"
NSP,NUROL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"0,7","0,7","46,88",0
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,75",0,"52,72","1,65"
PA2,PUSULA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,"1,25",0,0,"2,19"
PDD,ASTRA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"2,09","2,09","38,21","3,65"
PK1,AHLATCI PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,1","1,1",0,""
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"52,95","1,65"
PKM,PUSULA PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,1,0,0,"2,19"
PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,1,0,"43,30","1,65"
PP1,PARDUS PORTFÖY BİRİNCİ KATILIM FONU,Katılım Şemsiye Fonu,1,0,"29,28","3,65"
PPG,ALBARAKA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"1,25","1,25","45,17","1,65"
PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,3","1,3","46,16","3,65"
PRR,INVEO PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,"1,16",0,0,"3,65"
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1,1,"53,33","2,19"
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,"1,5","1,5","27,07","3,65"
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,Katılım Şemsiye Fonu,1,1,"46,25","3,65"
