Dışa Aktarım Tarihi:,21.08.2026 08:51:11
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,Uygulanan Yönetim Ücreti Yıllık (%),Fon İç Tüzüğünde Yer Alan Yönetim Ücreti Yıllık (%),Yıllık Getiri Oranı (%),Yıllık Azami Fon Toplam Gider Oranı (%)
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1,1,"43,24","1,65"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Serbest Şemsiye Fonu,"0,75","0,75","38,92",""
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,25","2,25","21,71","1,65"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Şemsiye Fonu,1,0,"45,08","3,65"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,1,0,"50,56","3,65"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,"1,5",0,"35,92",0
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"2,5",0,"15,82","3,65"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,"2,56",0,"28,12","3,65"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"2,1",0,"31,38","3,65"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"1,1",0,"24,34",""
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2,2,"26,68","2,56"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"0,27","2,19"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,75","1,75","40,01","1,65"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,"2,9","2,9",0,"2,56"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,3,0,"45,99","3,65"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,9","2,9","43,39","2,56"
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,"2,04","2,04","53,11","2,19"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,9","2,9","40,07","2,56"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,9","2,9","46,00","2,56"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,"2,9","2,9","38,67","2,56"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,"1,5","1,5","28,04","2,56"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi Şemsiye Fonu,"2,9","2,9","34,98","3,65"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Şemsiye Fonu,"1,5","1,5","17,16",0
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"1,4","1,4","43,97","3,65"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,2,0,"45,21","4,38"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,"0,39","0,85","47,35","2,56"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,3,0,0,0
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,"0,9","0,9","21,63",""
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,2,2,"24,58","2,56"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"3,4","3,4","39,05","2,56"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,"2,9","2,9","22,56","2,56"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,2,2,"38,11","2,56"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,"2,95","2,95","41,04","2,56"
