Dışa Aktarım Tarihi:,21.08.2026 08:51:16
Toplam Kayıt Sayısı:,1057

Fon Kodu,Fon Adı,Şemsiye Fon Türü,İlk Portföy Büyüklüğü,Son Portföy Büyüklüğü,Portföy Büyüklüğü Değişimi (%),Tedavüldeki İlk Pay Adedi,Tedavüldeki Son Pay Adedi,Pay Adedi Değişimi (%),Getiri Oranı (%)
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Fonu,"2297568429,18","2054875837,02","-10,56","672022622,00","589240459,00","-12,32","2,00"
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Serbest Fon,"18342582,32","29585929,57","61,3","1530393,00","2344432,00","53,19","5,29"
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"128847321,22","119583774,39","-7,19","2117136,00","1905307,00","-10,01","3,13"
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Serbest Fon,"337152071,85","356165765,17","5,64","107857138,00","110367857,00","2,33","3,24"
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Fonu,"1913053370,66","2082149123,13","8,84","494964440,00","519834829,00","5,02","3,63"
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"21874553,86","22691731,03","3,74","6025788,00","6081556,00","0,93","2,78"
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Fon,"72949079,13","74975902,97","2,78","1298798,00","1303095,00","0,33","2,44"
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi Fonu,"180319343,59","122039298,81","-32,32","4120858,00","2685977,00","-34,82","3,83"
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Fon,"341807983,41","344600756,24","0,82","57349308,97","57205538,97","-0,25","1,07"
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest Fon,"1416017566,89","1439455546,16","1,66","25387061,00","25281210,00","-0,42","2,08"
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Fon,"726975702,13","710689334,60","-2,24","849508774,00","795676535,00","-6,34","4,37"
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"3823330885,36","3708508207,90",-3,"3111897570,00","3047582973,00","-2,07","-0,96"
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"63226352,97","64973998,70","2,76","575436,28","557162,09","-3,18","6,13"
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Yabancı Fon Sepeti Fonu,"1443665009,40","0,00",-100,"8508001714,00","0,00",-100,"-100,00"
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"9408564,41","8747655,27","-7,02","4488648,00","4111849,00","-8,39","1,50"
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"5092975355,09","5495692728,47","7,91","4193275674,00","4295695916,00","2,44","5,33"
AFO,AK PORTFÖY ALTIN FONU,Altın Fonu,"18087356767,24","19898363854,16","10,01","15067520740,00","14672973769,00","-2,62","12,97"
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"802728262,01","901939594,38","12,36","2480812729,00","2521153266,00","1,63","10,56"
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"19022827790,17","19343543265,73","1,69","20209858755,00","19787074308,00","-2,09","3,86"
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"1208684106,44","1281182447,11",6,"2079027454,00","2084940121,00","0,28","5,70"
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Fon,"104475070,56","104845687,50","0,35","11386471,00","11168213,00","-1,92","2,32"
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi Fonu,"124450679,39","117446286,31","-5,63","3348816,00","3215854,00","-3,97","-1,73"
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest Fon,"31656387,87","31514798,74","-0,45","474690,00","452136,00","-4,75","4,52"
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"198478149,18","132203723,36","-33,39","18068124,00","11613132,00","-35,73","3,63"
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Fonu,"127273743,54","130188547,32","2,29","6038746,00","6008658,00","-0,5","2,80"
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Fonu,"13448499182,90","14685417974,96","9,2","129326519760,00","136711036773,00","5,71","3,30"
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"23238430,19","10364813,62","-55,4","17937023,00","7764337,00","-56,71","3,04"
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest Fon,"128192686,39","129082031,60","0,69","2023531,00","1999197,00","-1,2","1,92"
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"172373202,34","172496979,46","0,07","330381498,00","317682723,00","-3,84","4,07"
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"7566218068,01","8160776257,58","7,86","145500238,00","152508256,00","4,82","2,90"
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"1027134517,81","1044118836,97","1,65","1989499908,00","1979393962,00","-0,51","2,17"
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"2486817379,82","2318252619,92","-6,78","2652910769,00","2380233081,00","-10,28","3,90"
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Fonu,"1617340091,51","1638397709,13","1,3","4451932904,00","4320977307,00","-2,94","4,37"
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Fon,"1337474502,35","1350894457,45",1,"12106722,25","12041726,25","-0,54","1,55"
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Fon,"258414611,80","257943235,43","-0,18","12078861,00","11810745,00","-2,22","2,08"
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"20918154,41","20220396,10","-3,34","12565880,00","12488057,00","-0,62","-2,73"
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"1167095572,88","1072771951,46","-8,08","3254355912,00","2948667537,00","-9,39","1,45"
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Fon,"898192,14","853959,80","-4,92","1012592,00","1028353,00","1,56","-6,38"
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Fon,"321813003,29","237346120,44","-26,25","124441080,00","88968956,00","-28,51","3,16"
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,Fon Sepeti Fonu,"88161985,77","0,00",-100,"13127251,00","0,00",-100,"-100,00"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Fonu,"274253050,05","281413226,60","2,61","1769207350,00","1741617082,00","-1,56","4,24"
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi Fonu,"32545107,43","45786460,51","40,69","137916899,00","178288947,00","29,27","8,83"
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"4004531532,51","0,00",-100,"257193335,00","0,00",-100,"-100,00"
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Fonu,"3202337360,70","0,00",-100,"178338689,00","0,00",-100,"-100,00"
